method,accuracy,DPD,EOD,OCF_violation,OCF_violation_ratio_spread,rho_AIAN_NH,TPR_AIAN_NH,FPR_AIAN_NH,PPV_AIAN_NH,pi_AIAN_NH,rho_Asian_NH,TPR_Asian_NH,FPR_Asian_NH,PPV_Asian_NH,pi_Asian_NH,rho_Black_NH,TPR_Black_NH,FPR_Black_NH,PPV_Black_NH,pi_Black_NH,rho_Hispanic,TPR_Hispanic,FPR_Hispanic,PPV_Hispanic,pi_Hispanic,rho_Other_NH,TPR_Other_NH,FPR_Other_NH,PPV_Other_NH,pi_Other_NH,rho_White_NH,TPR_White_NH,FPR_White_NH,PPV_White_NH,pi_White_NH,fold,model,auroc,brier
Calibration,0.6843589255096209,0.6043879879763967,0.695903097993334,0.3124153991925844,1.0287087925593104,0.45901639344262296,0.5974955277280859,0.33,0.6278195488721805,0.4823123382226057,0.01822429906542056,0.03984819734345351,0.011159330440173589,0.5384615384615384,0.24626168224299066,0.6226122870418173,0.7357512953367875,0.4758893280632411,0.6672194582642343,0.5646188263637928,0.4233070112467097,0.543247344461305,0.315622161671208,0.6071226681741096,0.47307968413496054,0.38959260527216705,0.5257731958762887,0.2712731925783749,0.6274165202108963,0.46490927764464224,0.13916978027628285,0.25196850393700787,0.08448697068403908,0.5911330049261084,0.32650053131320056,4,LogisticRegression,0.6883258428912649,0.2080052030405242
OCF,0.6646599352257573,0.31852923154121165,0.33614849917904654,0.0001404119317686454,0.0003047851264856849,0.4823123382226057,0.6153846153846154,0.35833333333333334,0.6153846153846154,0.4823123382226057,0.24626168224299066,0.34535104364326374,0.2138871667699938,0.34535104364326374,0.24626168224299066,0.5647909137842023,0.6814995428223103,0.4134387351778656,0.6812918951858623,0.5646188263637928,0.47307968413496054,0.593829033889732,0.36466848319709355,0.593829033889732,0.47307968413496054,0.46490927764464224,0.6023564064801178,0.345489443378119,0.6023564064801178,0.46490927764464224,0.32653480958420456,0.503989501312336,0.24050793973941367,0.5039365945832458,0.32650053131320056,4,LogisticRegression,0.6883258428912649,0.2080052030405242
Unmitigated,0.6662009754115017,0.21817598213868616,0.22061857430496828,0.36331894786241475,1.194127789706552,0.4284377923292797,0.5307692307692308,0.331511839708561,0.6026200873362445,0.4864359214218896,0.49887031179394487,0.6440366972477064,0.45143884892086333,0.3179347826086957,0.24627202892001807,0.46829755366949577,0.6063829787234043,0.29028571428571426,0.7292110874200426,0.5631552670993509,0.5370260311422798,0.6611611611611612,0.4247226624405705,0.584772023019035,0.4749791988589088,0.4507483466759485,0.5883703136954859,0.33588761174968074,0.5938223938223938,0.4549251653324051,0.3188500490035936,0.5006059967328872,0.23082027461589505,0.5122950819672131,0.3262951563816434,0,RandomForest,0.6949132899527659,0.20645495282345339
DP,0.6568913838650681,0.007117861436132966,0.13109146968139776,0.2621904178963468,0.8617465894549635,0.3648269410664172,0.45,0.28415300546448086,0.6,0.4864359214218896,0.3718933574333484,0.5119266055045871,0.3261390887290168,0.33900364520048604,0.24627202892001807,0.3651189881843901,0.49704491725768324,0.19504761904761905,0.7666362807657247,0.5631552670993509,0.36491144657078334,0.484984984984985,0.2562825447136065,0.6312703583061889,0.4749791988589088,0.3647754959972154,0.49196633511859217,0.25862068965517243,0.6135496183206107,0.4549251653324051,0.3648790384979109,0.5508773778784845,0.2747945485171763,0.4926252297252721,0.3262951563816434,0,RandomForest,0.6949132899527659,0.20645495282345339
EO,0.6090987604145499,0.11623015845263585,0.10146886589888737,0.2852625847311544,0.9375783503589479,0.5603367633302152,0.6692307692307692,0.45719489981785066,0.5809682804674458,0.4864359214218896,0.5006778129236331,0.6458715596330276,0.45323741007194246,0.3176895306859206,0.24627202892001807,0.616907971376269,0.7473404255319149,0.44876190476190475,0.6822228216886971,0.5631552670993509,0.5594912635207417,0.6811811811811812,0.44940004527960153,0.5782876566815381,0.4749791988589088,0.5635224504002785,0.7016067329762815,0.4482758620689655,0.5663990117356393,0.4549251653324051,0.5384377310476453,0.718501343731886,0.45122760451227606,0.4354143381765927,0.3262951563816434,0,RandomForest,0.6949132899527659,0.20645495282345339
Calibration,0.6883636456004877,0.5687138820312986,0.6885554254234715,0.2990903774588268,1.0138320395201128,0.5163704396632367,0.6326923076923077,0.40619307832422585,0.5960144927536232,0.4864359214218896,0.01174875734297334,0.025688073394495414,0.007194244604316547,0.5384615384615384,0.24627202892001807,0.5804626393742719,0.7142434988179669,0.408,0.692947247706422,0.5631552670993509,0.3895162248900511,0.516016016016016,0.2750735793525017,0.6292340555386023,0.4749791988589088,0.42673163940132264,0.566947207345065,0.30970625798212004,0.6044045676998369,0.4549251653324051,0.1247442356299111,0.23423091110291405,0.0717166045633199,0.6126809097174363,0.3262951563816434,0,RandomForest,0.6949132899527659,0.20645495282345339
OCF,0.6691983336720179,0.31417198648480055,0.3255134795150411,0.0033495926168321407,0.011009174311926717,0.4864359214218896,0.5942307692307692,0.3843351548269581,0.5942307692307692,0.4864359214218896,0.24898328061455038,0.3724770642201835,0.20863309352517986,0.3684210526315789,0.24627202892001807,0.5631552670993509,0.6979905437352246,0.3893333333333333,0.6979905437352246,0.5631552670993509,0.4749791988589088,0.5993493493493494,0.3624632103237492,0.5993493493493494,0.4749791988589088,0.4549251653324051,0.5929609793420046,0.3397190293742018,0.5929609793420046,0.4549251653324051,0.3262951563816434,0.5093007324656162,0.2376601500689092,0.5093007324656162,0.3262951563816434,0,RandomForest,0.6949132899527659,0.20645495282345339
Unmitigated,0.6645583285705213,0.22874888589112996,0.23258979607364982,0.37293746123786947,1.2177252808424204,0.4591928251121076,0.5837837837837838,0.3357142857142857,0.6328125,0.4977578475336323,0.5083025830258303,0.653558052434457,0.46083231334149327,0.31669691470054445,0.246309963099631,0.4719932716568545,0.6074766355140186,0.3009893455098935,0.718104062722737,0.5579478553406224,0.5445882352941176,0.6568238213399503,0.44340044742729307,0.5718297688485634,0.47411764705882353,0.45619946091644203,0.5818452380952381,0.3522167487684729,0.5775480059084195,0.4528301886792453,0.31583934940298763,0.49654335321125126,0.22824251726784345,0.5132835088102122,0.3264873619462775,1,RandomForest,0.6963418516270442,0.20634330419326924
DP,0.6573188543849622,0.0005305993964123679,0.11828179347167961,0.2533880201868209,0.8273692780015336,0.3650224215246637,0.4756756756756757,0.25535714285714284,0.6486486486486487,0.4977578475336323,0.36485239852398527,0.4812734082397004,0.3268053855569155,0.324905183312263,0.246309963099631,0.3648444070647603,0.48869460355743144,0.2085235920852359,0.7473490087597972,0.5579478553406224,0.3649411764705882,0.4759305210918114,0.26487695749440715,0.6183107672469375,0.47411764705882353,0.3648921832884097,0.484375,0.2660098522167488,0.6011080332409973,0.4528301886792453,0.36537500646117266,0.5563354266715922,0.27280634433358913,0.4971234556257663,0.3264873619462775,1,RandomForest,0.6963418516270442,0.20634330419326924
EO,0.5792722423318727,0.09330804514941704,0.05865151936510837,0.35592684603525954,1.1621817693213603,0.6457399103139013,0.7549549549549549,0.5375,0.5819444444444445,0.4977578475336323,0.5862546125461254,0.7359550561797753,0.5373317013463892,0.3092053501180173,0.246309963099631,0.6795626576955425,0.791980705456738,0.5376712328767124,0.6502475247524753,0.5579478553406224,0.638,0.7491315136476426,0.537807606263982,0.5567029319564817,0.47411764705882353,0.6404986522911051,0.7663690476190477,0.5363300492610837,0.5418200946870069,0.4528301886792453,0.6225469081135099,0.7946065755448837,0.5391404451266308,0.4167220192627034,0.3264873619462775,1,RandomForest,0.6963418516270442,0.20634330419326924
Calibration,0.6861878453038674,0.5136410329620538,0.6041942597378842,0.25759213175743206,0.8410966545059555,0.4860986547085202,0.6144144144144145,0.35892857142857143,0.6291512915129152,0.4977578475336323,0.03505535055350553,0.07865168539325842,0.0208078335373317,0.5526315789473685,0.246309963099631,0.5486963835155593,0.6828459451311426,0.3793759512937595,0.6943592887798896,0.5579478553406224,0.40352941176470586,0.5203473945409429,0.2982102908277405,0.6113702623906706,0.47411764705882353,0.40869272237196763,0.5379464285714286,0.3017241379310345,0.596042868920033,0.4528301886792453,0.1349782043108944,0.24914243495698982,0.07963673573804042,0.6026295634414093,0.3264873619462775,1,RandomForest,0.6963418516270442,0.20634330419326924
OCF,0.6672255032704643,0.3107153830158992,0.33307024645481964,0.0011470317154606163,0.0037453183520599342,0.4977578475336323,0.6198198198198198,0.3767857142857143,0.6198198198198198,0.4977578475336323,0.24723247232472326,0.35580524344569286,0.211750305997552,0.35447761194029853,0.246309963099631,0.5579478553406224,0.6888754899005125,0.3926940639269406,0.6888754899005125,0.5579478553406224,0.4743529411764706,0.5893300248138957,0.37069351230425057,0.5890376984126984,0.47411764705882353,0.4528301886792453,0.578125,0.34913793103448276,0.578125,0.4528301886792453,0.3269525663777805,0.5104754868330783,0.23798925556408287,0.5097491568296796,0.3264873619462775,1,RandomForest,0.6963418516270442,0.20634330419326924
Unmitigated,0.6641265002857687,0.21858591685435003,0.19794150201170105,0.32579508049341044,1.080106025924309,0.4383680555555556,0.5746924428822495,0.3053173241852487,0.6475247524752475,0.4939236111111111,0.4673112338858195,0.615819209039548,0.4192565508836076,0.3221674876847291,0.24447513812154695,0.47058823529411764,0.6065573770491803,0.293241695303551,0.7295774647887324,0.5660314830157415,0.5376700177409817,0.6574377045054115,0.4315037929495761,0.5745710514738231,0.46989946777055,0.45486600846262343,0.5933232169954477,0.3346508563899868,0.6062015503875969,0.46473906911142454,0.31908410088663164,0.4960892083289293,0.23356229093787503,0.5064745872450631,0.3257639666006714,2,RandomForest,0.6956480760614968,0.20642160626192052
DP,0.6560741728583223,0.0018991712707182584,0.11473251649282104,0.25772832002074536,0.8544447972761394,0.3645833333333333,0.4991212653778559,0.2332761578044597,0.6761904761904762,0.4939236111111111,0.3664825046040516,0.5084745762711864,0.32053625837903715,0.3391959798994975,0.24447513812154695,0.3648715824357912,0.4868266978922717,0.2058037418862161,0.7552225249772934,0.5660314830157415,0.3648728562980485,0.4812484268814498,0.2617135207496653,0.6197730956239871,0.46989946777055,0.364950634696756,0.4992412746585736,0.24835309617918314,0.6357487922705314,0.46473906911142454,0.36487905655504865,0.5498361695381038,0.2755151546102188,0.4908936491459847,0.3257639666006714,2,RandomForest,0.6956480760614968,0.20642160626192052
